course-id	unknown-id	course-name-short	course-credit-type	course-number	course-sub-number	section-number	unknown	course-type	course-name-long	teacher-name	credit-hours	days-taught	hours-taught-1	hours-taught-2	location-taught	section-notes	seats-available	wait-list
02859	006	A HTG	S	100		002		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	11:00am09:00am	11:50am09:50am	140 JSB 2111 JKB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	6 / 30	0
02859	006	A HTG	S	100		003		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	11:00am09:00am	11:50am09:50am	140 JSB 2113 JKB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	2 / 30	0
02859	006	A HTG	S	100		004		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	11:00am10:00am	11:50am10:50am	140 JSB 1108 JKB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	1 / 30	0
02859	006	A HTG	S	100		005		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	12:00pm12:00pm	12:50pm12:50pm	140 JSB 127 MARB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	3 / 30	0
02859	006	A HTG	S	100		006		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	12:00pm12:00pm	12:50pm12:50pm	140 JSB 203 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	9 / 30	0
02859	006	A HTG	S	100		007		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	12:00pm12:00pm	12:50pm12:50pm	140 JSB B135 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	9 / 30	0
02859	006	A HTG	S	100		008		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	12:00pm12:00pm	12:50pm12:50pm	140 JSB 392 CB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	5 / 30	0
02859	006	A HTG	S	100		009		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	1:00pm1:00pm	1:50pm1:50pm	140 JSB 270 TNRB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	13 / 30	0
02859	006	A HTG	S	100		010		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	1:00pm1:00pm	1:50pm1:50pm	140 JSB B135 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	1 / 8	0
02859	006	A HTG	S	100		011		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	1:00pm1:00pm	1:50pm1:50pm	140 JSB B135 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	2 / 8	0
02859	006	A HTG	S	100		012		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	1:00pm1:00pm	1:50pm1:50pm	140 JSB B135 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	1 / 7	0
02859	006	A HTG	S	100		013		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	1:00pm1:00pm	1:50pm1:50pm	140 JSB B135 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	6 / 11	0
02859	006	A HTG	S	100		014		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	1:00pm2:00pm	1:50pm2:50pm	140 JSB B135 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	4 / 21	0
02859	006	A HTG	S	100		015		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	1:00pm2:00pm	1:50pm2:50pm	140 JSB B135 JFSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	4 / 9	0
02859	006	A HTG	S	100		016		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	12:00pm3:00pm	12:50pm3:50pm	140 JSB 170 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	7 / 14	0
02859	006	A HTG	S	100		017		DAY	American Heritage	Pulsipher, Jenny	3	MWTh	12:00pm3:00pm	12:50pm3:50pm	140 JSB 170 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	7 / 16	0
02859	006	A HTG	S	100		018		DAY	American Heritage	Pulsipher, Jenny	3	MWF	12:00pm08:00am	12:50pm08:50am	140 JSB 103 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	2 / 6	0
02859	006	A HTG	S	100		019		DAY	American Heritage	Pulsipher, Jenny	3	MWF	11:00am09:00am	11:50am09:50am	140 JSB 170 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	7 / 30	0
02859	006	A HTG	S	100		020		DAY	American Heritage	Pulsipher, Jenny	3	MWF	11:00am09:00am	11:50am09:50am	140 JSB 171 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	7 / 30	0
02859	006	A HTG	S	100		021		DAY	American Heritage	Pulsipher, Jenny	3	MWF	11:00am10:00am	11:50am10:50am	140 JSB 171 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	3 / 30	0
02859	006	A HTG	S	100		022		DAY	American Heritage	Pulsipher, Jenny	3	MWF	11:00am10:00am	11:50am10:50am	140 JSB 174 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	5 / 30	0
02859	006	A HTG	S	100		023		DAY	American Heritage	Pulsipher, Jenny	3	MWF	11:00am10:00am	11:50am10:50am	140 JSB 175 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	13 / 30	0
02859	006	A HTG	S	100		024		DAY	American Heritage	Pulsipher, Jenny	3	MWF	11:00am10:00am	11:50am10:50am	140 JSB 179 JSB 	A HTG 100: Also offered by BYU Independent Study; enroll anytime throughout year; one year to complete; additional tuition required; register at is.byu.edu.	13 / 30	0
