college-stub	department-stub	program-stub	department-name	course-credit-hours	course-description	course-number	course-name	course-url
	accountancy		Accountancy	'3	Advanced financial accounting topics including pensions, earnings per share, accounting changes, and deferred income taxes.	ACC 503	Advanced Financial Accounting.	
	accountancy		Accountancy	'3	Professional standards and professional literature of accounting and auditing; related academic research.  Research tools, information technologies, and critical analysis emphasized.	ACC 515	Accounting Research Seminar.	
	accountancy		Accountancy	'3	Fundamentals of academic research, including the scientific method, the philosophy of science, and the areas and methodologies of academic research.	ACC 516	Introduction to Academic Research.	
	accountancy		Accountancy	'1	Basic SAS programming; practice using Compustat and CRSP databases; performing archival research.	ACC 517	Academic Research Applications.	
	accountancy		Accountancy	'3	Tax laws as they apply to selected tax entities, with an introduction to tax research methodology.	ACC 522	Advanced Taxation.	
	accountancy		Accountancy	'3	In-depth treatment of research and procedures emphasizing communication and presentation of findings.	ACC 523	Tax Research Methodology.	
	accountancy		Accountancy	'3	Understanding the risks involved in accounting information systems and the proper design, documentation, and validation of mitigating controls.  Theory and application.	ACC 525	Accounting Information Systems Risk and Control.	
	accountancy		Accountancy	'3	Accounting methodology, professional auditing standards, and current issues.	ACC 530	Advanced Financial Statement Auditing.	
	accountancy		Accountancy	'1.5	Advanced concepts, including the role of accounting in strategic and operational decision-making.	ACC 531	Advanced Management Accounting.	
	accountancy		Accountancy	'3	Advanced financial accounting topics including pensions, earnings per share, accounting changes, and deferred income taxes.	ACC 540	Advanced Professional Financial Accounting.	
	accountancy		Accountancy	'1.5	Analysis of financial statements and the accompanying footnotes.  How various accounting methods might affect interpretation and use of financial information.	ACC 541	Financial Statement Analysis.	
	accountancy		Accountancy	'3	Case-based course that examines theoretical and practical issues surrounding fair value and other measurement issues. Focuses on techniques used in practice for measuring financial instruments, acquisitions, revenue recognition, and asset impairments, among others.	ACC 542	Fair Value and Other Measurements in Accounting.	
	accountancy		Accountancy	'3	Accounting from an international perspective:  flow of information in multiple currencies, complying with reporting requirements, setting budgets and monitoring performance, and controlling corporate assets through reports and audits.	ACC 545	International Accounting and Multinational Enterprises.	
	accountancy		Accountancy	'3	Fraud prevention, detection, investigation, issues, and methodology. Examination of past frauds with hands-on cases and computer exercises to identify increased fraud risk, interrogate data, and design prevention and detection controls.	ACC 550	Fraud Prevention and Detection.	
	accountancy		Accountancy	'3	Principles of data communication and security, local- and wide-area networks, hardware, software, infrastructure, standards, policies, baseline security, web security, cryptography, operations, and security management.	ACC 555	Data Communications and Security.	
	accountancy		Accountancy	'3	Concepts and techniques of database system development.  Focal areas include: structures, integrity, retrieval, manipulation, validation, and analysis.  SQL used as basis for data interrogation.	ACC 556	Database Analysis and Design.	
	accountancy		Accountancy	'3	Projects-oriented course where students get hands-on experience performing consulting jobs for businesses in Utah.  Class includes both in-class instruction and business experience.	ACC 557	Management Consulting and Projects.	
	accountancy		Accountancy	'3	Special property transactions, accounting periods and methods, tax payments and credit, tax concepts, and reporting tax liability.	ACC 560	Special Problems in Federal Taxation.	
	accountancy		Accountancy	'3	Federal income taxation of corporations and shareholders.	ACC 561	Corporate Taxation 1.	
	accountancy		Accountancy	'3	Continuation of Corporate Taxation 1.  Includes consolidated returns.	ACC 562	Corporate Taxation 2.	
	accountancy		Accountancy	'3	Federal income taxation of general and limited partnerships and partners.	ACC 563	Taxation of Partnerships.	
	accountancy		Accountancy	'3	Federal taxation of property transferred by death and gift; federal taxation of income of trusts and estates.	ACC 564	Taxation of Estates, Gifts, and Fiduciaries.	
	accountancy		Accountancy	'0.5-3	Intensive study of special and current tax topics and policies.	ACC 565 R	Current Tax Policy.	
	accountancy		Accountancy	'3	Accounting periods and methods, corporate income taxation, and accounting for income taxes under ASC 740.	ACC 566	Tax Accounting Methods and Accounting for Income Taxes.	
	accountancy		Accountancy	'3	Federal taxation of foreign transactions.	ACC 568	Taxation of Foreign Income.	
	accountancy		Accountancy	'1-3	In-depth study one-on-one with chosen professor on topic of mutual interest not currently covered in existing courses.	ACC 591 R	Readings and Conference	
	accountancy		Accountancy	'0.5-3	On-the-job experience and training in industry, government, or public accounting firms.	ACC 599 R	Academic Internship: Accounting.	
	anthropology		Anthropology	'3	Historical approach to development of archaeological knowledge, method, and theory, emphasizing North America and individual contributions.	ANTHR 500	History of Archaeology.	
	anthropology		Anthropology	'3	Major developments in archaeological method and theory, emphasizing current perspectives.	ANTHR 501	Current Archaeological Method and Theory.	
	anthropology		Anthropology	'3	Methods of organizing, exploring, and presenting data.  Probability and statistical inference.	ANTHR 502	Quantitative Methods for Anthropology.	
	anthropology		Anthropology	'3	Museums in society. Cultural foundations of museum content and sociology of museum use. Analyzing museum studies literature. Visits to and critiques of area museums. Final projects in real museums in the region.	ANTHR 511	Museums and Cultures.	
	anthropology		Anthropology	'3	Legal and ethical issues for practicing archaeologists. Preservation law, collections law, public archaeology, Native American issues, and careers in archaeology and museums.	ANTHR 512	Heritage Resource Management.	
	anthropology		Anthropology	'3	Core museum disciplines: collections management, curation, education, exhibition, and conservation. Supporting technologies: database, digital photography, Web design, etc. Career paths.	ANTHR 522	Museum Practices and Technologies.	
	anthropology		Anthropology	'3	Professional practices supporting the educational, research, and reporting functions of museums, emphasizing museum writing leading to publication, cataloguing, policy writing, exhibition conceptualization, etc.	ANTHR 524	Museology: Curation and Writing.	
	anthropology		Anthropology	'3	Managing anthropological collections: object-handling, object-tracking, accessioning, deaccessioning, collections databases, loans, valuating collections, conservation environments, ethics, and NAGPRA and other laws relating to museums.	ANTHR 525	Museum Registration and Collections Management.	
	anthropology		Anthropology	'3	Instruction and practica in all aspects of exhibition development.   Current thought and literature in museum education with practica for application.	ANTHR 526	Museum Exhibitions and Programming.	
	anthropology		Anthropology	'3	Overview of ethnography, history of research, and prehistory of the Great Basin culture area. Current issues in archaeological research emphasized.	ANTHR 530	Great Basin Archaeology.	
	anthropology		Anthropology	'3	Overview of ethnography and prehistory of American Southwest. Current issues in archaeological research emphasized.	ANTHR 535	Southwest Seminar.	
	anthropology		Anthropology	'3	Topics and issues concerning beginnings and development of Mesoamerican civilizations. Mexican and Mayan antecedents of classic Mayan civilization and culture.	ANTHR 562	Formative Mesoamerica.	
	anthropology		Anthropology	'3	Topics and issues concerning archaeological and cultural aspects of classic Mayan civilization and society.	ANTHR 564	Classic Mayan Civilization.	
	anthropology		Anthropology	'3	Current approaches to classification and analysis of archaeological ceramics, particularly Maya Lowland pottery. Laboratory study of pottery collections from the Maya area.	ANTHR 565	Mayan Ceramic Analysis.	
	anthropology		Anthropology	'3	Topics and issues of cultural change, colonization, and documentation of change processes in the Mayan region, from postclassic period and independence from Spain.	ANTHR 566	Mayan Ethnohistory.	
	anthropology		Anthropology	'3	Current issues in Near Eastern archaeological research.	ANTHR 580	Near East Seminar.	
	anthropology		Anthropology	'3	Special topics in archaeology or museum studies.	ANTHR 590 R	Special Topics.	
	anthropology		Anthropology	'3	One or more supervised museum projects, such as producing an exhibition, developing educational materials, conducting inventory, or accessioning collections.	ANTHR 596	Museum Projects.	
	anthropology		Anthropology	'1-6	Earning credit while employed in federal agency archaeology (BLM, U.S. Forest Service, etc.); or 320 hours in collections-holding institution (sixteen weeks half-time; eight weeks full-time).	ANTHR 599 R	Academic Internship: Federal Agency on Museum/Collections Repository.	
	anthropology		Anthropology	'0.5-3	Reading about 1,000 pages per credit hour and providing required products.	ANTHR 694 R	Readings.	
	anthropology		Anthropology	'0.5-6	Field research, data acquisition, and data analysis. Must be thesis related.	ANTHR 695 R	Research.	
	anthropology		Anthropology	'0.5-9		ANTHR 699 R	Master's Thesis.	
	art		Art	'3	Reviewing and critiquing major theoretical approaches in art history, emphasizing the space of display, the museum, and the work's social reception.	ART 610	Art Theory Context.	
	art		Art	'1	Seminar instruction and individual studio critiques from visiting artists.	ART 619 R	Studio Methodologies Seminar.	
	art		Art	'3	Current issues in art.	ART 626	Current Art Practice.	
	art		Art	'2	Business practices and theories associated with managing a career in art.	ART 640	Graduate Business Practices.	
	art		Art	'1-6	Individual studio experience from selected faculty.	ART 680 R	Studio Methodologies.	
	art		Art	'0.5-3		ART 694 R	Special Problems.	
	art		Art	'3	Trends in the visual arts; theory-based readings, writing, and art practice.	ART 695 R	Theory-Based Directed Studies.	
	art		Art	'0-6	Written report that places final exhibition in a contextual setting and defines, defends, and justifies its existence. Report clarifying how exhibit verifies original proposal.	ART 699 R	Master's Thesis.	
