college-stub	department-stub	faculty-stub	faculty-name	faculty-rank	department-name	faculty-url	faculty-degree	faculty-school	faculty-degree-year	faculty-discipline
	1a7abb935e5b190d15ff55408b969297		Barrick, John A.	Associate Professor	Accountancy		PhD	University of Nebraska	1998	
	1a7abb935e5b190d15ff55408b969297		Burton, F. Greg	Professor	Accountancy		PhD	University of South Carolina	1994	
	1a7abb935e5b190d15ff55408b969297		Cottrell, David M.	Professor	Accountancy		PhD	The Ohio State University	1992	
	1a7abb935e5b190d15ff55408b969297		Drake, Michael S.	Assistant Professor	Accountancy		PhD	Texas A&M University	2009	
	1a7abb935e5b190d15ff55408b969297		Glover, Steven M.	Professor	Accountancy		PhD	University of Washington	1994	
	1a7abb935e5b190d15ff55408b969297		Heninger, William G.	Associate Professor	Accountancy		PhD	University of Georgia	1997	
	1a7abb935e5b190d15ff55408b969297		Prawitt, Douglas F.	Professor	Accountancy		PhD	University of Arizona	1993	
	1a7abb935e5b190d15ff55408b969297		Smith, Steven D.	Associate Professor	Accountancy		PhD	Cornell University	2005	
	1a7abb935e5b190d15ff55408b969297		Spilker, Brian C.	Professor	Accountancy		PhD	University of Texas, Austin	1993	
	1a7abb935e5b190d15ff55408b969297		Stewart, Bryan W.	Assistant Professor	Accountancy		PhD	University of South Carolina	2013	
	1a7abb935e5b190d15ff55408b969297		Stewart, Dave N.	Professor	Accountancy		PhD	University of Florida	1980	
	1a7abb935e5b190d15ff55408b969297		Stice, Earl Kay	Professor	Accountancy		PhD	Cornell University	1988	
	1a7abb935e5b190d15ff55408b969297		Stice, James D.	Professor	Accountancy		PhD	University of Washington	1989	
	1a7abb935e5b190d15ff55408b969297		Stocks, Kevin D.	Professor	Accountancy		PhD	Oklahoma State University	1981	
	1a7abb935e5b190d15ff55408b969297		Summers, Scott L.	Professor	Accountancy		PhD	Texas A&M University	1995	
	1a7abb935e5b190d15ff55408b969297		Swain, Monte R.	Professor	Accountancy		PhD	Michigan State University	1991	
	1a7abb935e5b190d15ff55408b969297		Tayler, William B.	Associate Professor	Accountancy		PhD	Cornell University	2007	
	1a7abb935e5b190d15ff55408b969297		Wilks, T. Jeffrey	Professor	Accountancy		PhD	Cornell University	1996	
	1a7abb935e5b190d15ff55408b969297		Worsham, Ronald G.	Associate Professor	Accountancy		PhD	University of Florida	1994	
	1a7abb935e5b190d15ff55408b969297		Zimbelman, Mark F.	Professor	Accountancy		PhD	University of Arizona	1996	
	f3b36167ab22775660ecc4501b6d7ab1		Allison, James R.	Associate Professor	Anthropology		PhD	Arizona State University	2000	
	f3b36167ab22775660ecc4501b6d7ab1		Clark, John E.	Professor	Anthropology		PhD	University of Michigan	1994	
	f3b36167ab22775660ecc4501b6d7ab1		Crandall, David P.	Associate Professor	Anthropology		DPhil	Oxford University	1993	
	f3b36167ab22775660ecc4501b6d7ab1		Finlayson, Cynthia S.	Associate Professor	Anthropology		PhD	University of Iowa	1998	
	f3b36167ab22775660ecc4501b6d7ab1		Forsyth, Donald W.	Professor	Anthropology		PhD	University of Pennsylvania	1979	
	f3b36167ab22775660ecc4501b6d7ab1		Hickman, Jacob	Assistant Professor	Anthropology		PhD	University of Chicago	2011	
	f3b36167ab22775660ecc4501b6d7ab1		Johnson, David J.	Associate Professor	Anthropology		PhD	University of Utah	1987	
	f3b36167ab22775660ecc4501b6d7ab1		Nuckolls, Charles W.	Professor	Anthropology		PhD	University of Chicago	1987	
	f3b36167ab22775660ecc4501b6d7ab1		Searcy, Michael T.	Assistant Professor	Anthropology		PhD	University of Oklahoma	2010	
	68cdbfa12a56c99931d5539aaac59e44		Adams, Paul	Associate Professor	Art		MFA	Utah State University	1996	
	68cdbfa12a56c99931d5539aaac59e44		Andersen, Bethanne	Professor	Art		MFA	Brigham Young University	1979	
	68cdbfa12a56c99931d5539aaac59e44		Barney, Daniel T.	Assistant Professor	Art		PhD	University of British Columbia	2009	
	68cdbfa12a56c99931d5539aaac59e44		Barrett, Robert	Professor	Art		MFA	University of Iowa	1976	
	68cdbfa12a56c99931d5539aaac59e44		Barton, Garold C.	Professor	Art		MFA	Ohio State University	1994	
	68cdbfa12a56c99931d5539aaac59e44		Buehler, Fidalis	Assistant Professor	Art		MFA	Brigham Young University	2007	
	68cdbfa12a56c99931d5539aaac59e44		Christensen, Brian D.	Associate Professor	Art		MFA	Washington University, St. Louis	1992	
	68cdbfa12a56c99931d5539aaac59e44		Draper, Bryon	Associate Professor	Art		MFA	Brigham Young University	1995	
	68cdbfa12a56c99931d5539aaac59e44		Everett, Peter	Associate Professor	Art		MFA	Pratt Institute	2000	
	68cdbfa12a56c99931d5539aaac59e44		Gillett, Eric	Associate Professor	Art		MFA	University of Utah	2003	
	68cdbfa12a56c99931d5539aaac59e44		Graham, Mark A.	Professor	Art		EdD	Teachers College of Columbia University	2001	
	68cdbfa12a56c99931d5539aaac59e44		Jensen, Heather Belnap	Associate Professor	Art		PhD	University of Kansas	2007	
	68cdbfa12a56c99931d5539aaac59e44		Johnson, Mark J.	Professor	Art		PhD	Princeton University	1986	
	68cdbfa12a56c99931d5539aaac59e44		Magleby, Mark A.	Museum of Art Director	Art		PhD	Ohio State University	2009	
	68cdbfa12a56c99931d5539aaac59e44		Ostraff, Joseph E.	Professor	Art		MFA	University of Washington	1982	
	68cdbfa12a56c99931d5539aaac59e44		Peacock, Martha	Professor	Art		PhD	Ohio State University	1989	
	68cdbfa12a56c99931d5539aaac59e44		Reynolds, Linda	Professor	Art		MFA	University of Utah	1993	
	68cdbfa12a56c99931d5539aaac59e44		Swensen, James	Assistant Professor	Art		PhD	University of Arizona	2009	
	68cdbfa12a56c99931d5539aaac59e44		Taylor, Sunny Belliston	Assistant Professor	Art		MFA	Ohio State University	2007	
	2c68c2fc8f74c11313c6229a4dd8d52e		Adams, Byron J.	Associate Professor	Biology		PhD	University of Nebraska	1998	
	2c68c2fc8f74c11313c6229a4dd8d52e		Belk, Mark C.	Professor	Biology		PhD	University of Georgia	1992	
	2c68c2fc8f74c11313c6229a4dd8d52e		Bybee, Seth M.	Assistant Professor	Biology		PhD	University of Florida	2008	
