college-stub	department-stub	program-stub	department-name	min-credit-hours	max-credit-hours	course-description	course-number	course-name	course-url
management	school-of-accountancy	principles-of-accounting	School of Accountancy	3	3	Financial and managerial accounting principles. Basic accounting statements, processes, and management applications. Open to all students.	ACC 200	Principles of Accounting	/management/school-of-accountancy/principles-of-accounting
management	school-of-accountancy	principles-of-financial-accounting	School of Accountancy	3	3	First course in concepts and methods underlying financial statements.	ACC 201	Principles of Financial Accounting	/management/school-of-accountancy/principles-of-financial-accounting
management	school-of-accountancy	principles-of-managerial-accounting	School of Accountancy	3	3	Second course in the elementary series covering managerial problems and control of business operations.	ACC 202	Principles of Managerial Accounting	/management/school-of-accountancy/principles-of-managerial-accounting
management	school-of-accountancy	business-law-environment	School of Accountancy	3	3	Introduction to legal principles and institutions affecting business.	ACC 241	Business Law in the Environment	/management/school-of-accountancy/business-law-environment
management	school-of-accountancy	introduction-accounting-2	School of Accountancy	3	3	Additional issues in financial and managerial accounting. Review of issues related to balance sheet accounts, performance evaluation and capital budgeting.	ACC 300	Introduction to Accounting 2	/management/school-of-accountancy/introduction-accounting-2
management	school-of-accountancy	principles-of-accounting-2	School of Accountancy	3	3	Additional coverage of issues in financial and managerial accounting. Review of issues related to balance sheet accounts, performance evaluation, and capital budgeting.	ACC 305	Principles of Accounting 2	/management/school-of-accountancy/principles-of-accounting-2
management	school-of-accountancy	principles-of-accounting-2-0	School of Accountancy	3	3	Additional issues in financial and managerial accounting. Review of issues related to balance sheet accounts, performance evaluation and capital budgeting.	ACC 310	Principles of Accounting 2	/management/school-of-accountancy/principles-of-accounting-2-0
management	school-of-accountancy	business-and-accounting-information-systems	School of Accountancy	4	4	Inputs, processing, outputs, and files of several transaction-processing subsystems. Foundation for understanding internal control. Variety of tools used to design, create, or document accounting information systems (AIS) to achieve organizational...	ACC 401	Business and Accounting Information Systems	/management/school-of-accountancy/business-and-accounting-information-systems
management	school-of-accountancy	cost-and-managerial-accounting	School of Accountancy	4	4	Cost and managerial accounting topics, including production processes, product costing, cost behavior analysis with regression, differential costing, capital budgeting, throughput accounting, performance measurement, and budgeting.	ACC 402	Cost and Managerial Accounting	/management/school-of-accountancy/cost-and-managerial-accounting
management	school-of-accountancy	intermediate-financial-accounting-1	School of Accountancy	4	4	Financial reporting issues for balance sheet, income statement, and cash-flow statement. Revenue recognition, accounting for long-term assets, investment securities, and derivative instruments; consolidation.	ACC 403	Intermediate Financial Accounting 1	/management/school-of-accountancy/intermediate-financial-accounting-1
