college-stub	department-stub	college-name-short	department-name	department-url
law-school	law-school	Law School	Law School	/law-school
management	school-of-accountancy	Management	Accountancy	/management/school-of-accountancy
management	aerospace-studies	Management	Aerospace Studies	/management/aerospace-studies
international-and-area-studies	africana-studies-program	International and Area Studies	Africana Studies Program	/international-and-area-studies/africana-studies-program
humanities	american-studies-program	Humanities	American Studies Program	/humanities/american-studies-program
international-and-area-studies	ancient-near-eastern-studies-program	International and Area Studies	Ancient Near Eastern Studies Program	/international-and-area-studies/ancient-near-eastern-studies-program
religious-education	ancient-scripture	Religious Education	Ancient Scripture	/religious-education/ancient-scripture
family-home-and-social-sciences	anthropology	Family Home and Social Sciences	Anthropology	/family-home-and-social-sciences/anthropology
fine-arts-and-communications	art	Fine Arts and Communications	Art	/fine-arts-and-communications/art
humanities	asian-and-near-eastern-languages	Humanities	Asian and Near Eastern Languages	/humanities/asian-and-near-eastern-languages
international-and-area-studies	asian-studies-program	International and Area Studies	Asian Studies Program	/international-and-area-studies/asian-studies-program
continuing-education	bachelor-of-general-studies	Continuing Education	Bachelor of General Studies	/continuing-education/bachelor-of-general-studies
life-sciences	biology	Life Sciences	Biology	/life-sciences/biology
engineering-and-technology	chemical-engineering	Engineering and Technology	Chemical Engineering	/engineering-and-technology/chemical-engineering
physical-and-mathematical-sciences	chemistry-and-biochemistry	Physical and Mathematical Sciences	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry
religious-education	church-history-and-doctrine	Religious Education	Church History and Doctrine	/religious-education/church-history-and-doctrine
family-home-and-social-sciences	civic-engagement-program	Family Home and Social Sciences	Civic Engagement Program	/family-home-and-social-sciences/civic-engagement-program
engineering-and-technology	civil-and-environmental-engineering	Engineering and Technology	Civil and Environmental Engineering	/engineering-and-technology/civil-and-environmental-engineering
education	communication-disorders	Education	Communication Disorders	/education/communication-disorders
fine-arts-and-communications	school-of-communications	Fine Arts and Communications	Communications	/fine-arts-and-communications/school-of-communications
humanities	comparative-arts-and-letters	Humanities	Comparative Arts and Letters	/humanities/comparative-arts-and-letters
physical-and-mathematical-sciences	computer-science	Physical and Mathematical Sciences	Computer Science	/physical-and-mathematical-sciences/computer-science
continuing-education	continuing-education	Continuing Education	Continuing Education	/continuing-education/continuing-education
education	counseling-psychology-and-special-education	Education	Counseling Psychology and Special Education	/education/counseling-psychology-and-special-education
fine-arts-and-communications	dance	Fine Arts and Communications	Dance	/fine-arts-and-communications/dance
fine-arts-and-communications	design	Fine Arts and Communications	Design	/fine-arts-and-communications/design
humanities	digital-humanities-program	Humanities	Digital Humanities Program	/humanities/digital-humanities-program
family-home-and-social-sciences	economics	Family Home and Social Sciences	Economics	/family-home-and-social-sciences/economics
education	educational-leadership-and-foundations	Education	Educational Leadership and Foundations	/education/educational-leadership-and-foundations
engineering-and-technology	electrical-and-computer-engineering	Engineering and Technology	Electrical and Computer Engineering	/engineering-and-technology/electrical-and-computer-engineering
humanities	english	Humanities	English	/humanities/english
international-and-area-studies	european-studies-program	International and Area Studies	European Studies Program	/international-and-area-studies/european-studies-program
life-sciences	exercise-sciences	Life Sciences	Exercise Sciences	/life-sciences/exercise-sciences
family-home-and-social-sciences	school-of-family-life	Family Home and Social Sciences	Family Life	/family-home-and-social-sciences/school-of-family-life
management	finance	Management	Finance	/management/finance
humanities	french-and-italian	Humanities	French and Italian	/humanities/french-and-italian
undergraduate-education	general-education-program	Undergraduate Education	General Education Program	/undergraduate-education/general-education-program
family-home-and-social-sciences	geography	Family Home and Social Sciences	Geography	/family-home-and-social-sciences/geography
physical-and-mathematical-sciences	geological-sciences	Physical and Mathematical Sciences	Geological Sciences	/physical-and-mathematical-sciences/geological-sciences
humanities	german-and-russian	Humanities	German and Russian	/humanities/german-and-russian
life-sciences	health-science	Life Sciences	Health Science	/life-sciences/health-science
family-home-and-social-sciences	history	Family Home and Social Sciences	History	/family-home-and-social-sciences/history
undergraduate-education	honors-program	Undergraduate Education	Honors Program	/undergraduate-education/honors-program
