college-stub	department-stub	faculty-stub	faculty-name	faculty-rank	department-name	faculty-url	faculty-degree	faculty-school	faculty-degree-year	faculty-discipline
life-sciences	plant-and-wildlife-sciences	zachary-thomas-aanderud	Zachary Thomas Aanderud	Assistant Professor	Plant and Wildlife Sciences	/life-sciences/plant-and-wildlife-sciences/zachary-thomas-aanderud				
life-sciences	biology	marta-jean-adair	Marta Jean Adair	Associate Teaching Professor	Biology	/life-sciences/biology/marta-jean-adair				
engineering-and-technology	mechanical-engineering	bradley-r-adams	Bradley R Adams	Associate Professor	Mechanical Engineering	/engineering-and-technology/mechanical-engineering/bradley-r-adams				
family-home-and-social-sciences		joyce-adams	Joyce Adams	Associate Teaching Professor	Family Home and Social Sciences	/family-home-and-social-sciences/joyce-adams				
life-sciences	biology	byron-james-adams	Byron James Adams	Professor	Biology	/life-sciences/biology/byron-james-adams				
fine-arts-and-communications	school-of-communications	edward-eugene-adams	Edward Eugene Adams	Professor	School of Communications	/fine-arts-and-communications/school-of-communications/edward-eugene-adams				
management	finance	gregory-l-adams	Gregory L Adams	Associate Research Professor	Finance	/management/finance/gregory-l-adams				
non-college-and-other-units	counseling-and-career-center	michael-d-adams	Michael D Adams	Associate Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/michael-d-adams				
fine-arts-and-communications	design	paul-s-adams	Paul S Adams	Associate Professor	Design	/fine-arts-and-communications/design/paul-s-adams				
physical-and-mathematical-sciences	computer-science	richard-brent-adams	Richard Brent Adams	Professor	Computer Science	/physical-and-mathematical-sciences/computer-science/richard-brent-adams				
management	public-management	bradley-roy-agle	Bradley Roy Agle	Professor	Public Management	/management/public-management/bradley-roy-agle				
humanities	spanish-and-portuguese	orlando-alba	Orlando Alba	Professor	Spanish and Portuguese	/humanities/spanish-and-portuguese/orlando-alba				
management	information-systems	conan-carl-albrecht	Conan Carl Albrecht	Professor	Information Systems	/management/information-systems/conan-carl-albrecht				
management	school-of-accountancy	william-steve-albrecht	William Steve Albrecht	Professor	School of Accountancy	/management/school-of-accountancy/william-steve-albrecht				
life-sciences	physiology-and-developmental-biology	jonathan-kimball-alder	Jonathan Kimball Alder	Assistant Professor	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology/jonathan-kimball-alder				
religious-education	church-history-and-doctrine	kenneth-lowell-alford	Kenneth Lowell Alford	Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/kenneth-lowell-alford				
management	information-systems	gove-nathaniel-allen	Gove Nathaniel Allen	Associate Professor	Information Systems	/management/information-systems/gove-nathaniel-allen				
education	counseling-psychology-and-special-education	gerald-kawika-allen	Gerald Kawika Allen	Assistant Professor	Counseling Psychology and Special Education	/education/counseling-psychology-and-special-education/gerald-kawika-allen				
life-sciences	plant-and-wildlife-sciences	phil-s-allen	Phil S Allen	Professor	Plant and Wildlife Sciences	/life-sciences/plant-and-wildlife-sciences/phil-s-allen				
family-home-and-social-sciences	anthropology	james-r-allison	James R Allison	Associate Professor	Anthropology	/family-home-and-social-sciences/anthropology/james-r-allison				
physical-and-mathematical-sciences	physics-and-astronomy	david-d-allred	David D Allred	Professor	Physics and Astronomy	/physical-and-mathematical-sciences/physics-and-astronomy/david-d-allred				
humanities	spanish-and-portuguese	scott-m-alvord	Scott M Alvord	Associate Professor	Spanish and Portuguese	/humanities/spanish-and-portuguese/scott-m-alvord				
