college-stub	department-stub	program-stub	college-name-short	program-name	program-url
management	school-of-accountancy	accounting-bs	Management	School of Accountancy	Accounting (BS)	/management/school-of-accountancy/accounting-bs
fine-arts-and-communications	theatre-and-media-arts	acting-bfa	Fine Arts and Communications	Theatre and Media Arts	Acting (BFA)	/fine-arts-and-communications/theatre-and-media-arts/acting-bfa
physical-and-mathematical-sciences	statistics	actuarial-science-minor	Physical and Mathematical Sciences	Statistics	Actuarial Science (Minor)	/physical-and-mathematical-sciences/statistics/actuarial-science-minor
physical-and-mathematical-sciences	statistics	actuarial-science-bs	Physical and Mathematical Sciences	Statistics	Actuarial Science (BS)	/physical-and-mathematical-sciences/statistics/actuarial-science-bs
fine-arts-and-communications	design	advertising-design-minor	Fine Arts and Communications	Design	Advertising Design (Minor)	/fine-arts-and-communications/design/advertising-design-minor
management	aerospace-studies	aerospace-studies-minor	Management	Aerospace Studies	Aerospace Studies (Minor)	/management/aerospace-studies/aerospace-studies-minor
international-and-area-studies	africana-studies-program	africana-studies-minor	International and Area Studies	Africana Studies Program	Africana Studies (Minor)	/international-and-area-studies/africana-studies-program/africana-studies-minor
humanities	american-studies-program	american-studies-ba	Humanities	American Studies Program	American Studies (BA)	/humanities/american-studies-program/american-studies-ba
international-and-area-studies	ancient-near-eastern-studies-program	ancient-near-eastern-studies-1	International and Area Studies	Ancient Near Eastern Studies Program	Ancient Near Eastern Studies (Minor)	/international-and-area-studies/ancient-near-eastern-studies-program/ancient-near-eastern-studies-1
international-and-area-studies	ancient-near-eastern-studies-program	ancient-near-eastern-studies	International and Area Studies	Ancient Near Eastern Studies Program	Ancient Near Eastern Studies: Greek New Testament (BA)	/international-and-area-studies/ancient-near-eastern-studies-program/ancient-near-eastern-studies
international-and-area-studies	ancient-near-eastern-studies-program	ancient-near-eastern-studies-0	International and Area Studies	Ancient Near Eastern Studies Program	Ancient Near Eastern Studies: Hebrew Bible (BA)	/international-and-area-studies/ancient-near-eastern-studies-program/ancient-near-eastern-studies-0
fine-arts-and-communications	design	animation-bfa	Fine Arts and Communications	Design	Animation (BFA)	/fine-arts-and-communications/design/animation-bfa
family-home-and-social-sciences	anthropology	anthropology-minor	Family Home and Social Sciences	Anthropology	Anthropology (Minor)	/family-home-and-social-sciences/anthropology/anthropology-minor
family-home-and-social-sciences	anthropology	anthropology-sociocultrl-double-major-ba	Family Home and Social Sciences	Anthropology	Anthropology (Sociocultrl Double Major) (BA)	/family-home-and-social-sciences/anthropology/anthropology-sociocultrl-double-major-ba
family-home-and-social-sciences	anthropology	anthropology-archaeology-ba	Family Home and Social Sciences	Anthropology	Anthropology: Archaeology (BA)	/family-home-and-social-sciences/anthropology/anthropology-archaeology-ba
family-home-and-social-sciences	anthropology	anthropology-sociocultural-ba	Family Home and Social Sciences	Anthropology	Anthropology: Sociocultural (BA)	/family-home-and-social-sciences/anthropology/anthropology-sociocultural-ba
physical-and-mathematical-sciences	physics-and-astronomy	applied-physics-bs	Physical and Mathematical Sciences	Physics and Astronomy	Applied Physics (BS)	/physical-and-mathematical-sciences/physics-and-astronomy/applied-physics-bs
humanities	asian-and-near-eastern-languages	arabic-minor	Humanities	Asian and Near Eastern Languages	Arabic (Minor)	/humanities/asian-and-near-eastern-languages/arabic-minor
humanities	asian-and-near-eastern-languages	arabic-language-ba	Humanities	Asian and Near Eastern Languages	Arabic Language (BA)	/humanities/asian-and-near-eastern-languages/arabic-language-ba
fine-arts-and-communications	art	art-minor	Fine Arts and Communications	Art	Art (Minor)	/fine-arts-and-communications/art/art-minor
fine-arts-and-communications	art	art-bfa	Fine Arts and Communications	Art	Art (BFA)	/fine-arts-and-communications/art/art-bfa
fine-arts-and-communications	art	art-ba	Fine Arts and Communications	Art	Art (BA)	/fine-arts-and-communications/art/art-ba
fine-arts-and-communications	art	art-education-minor	Fine Arts and Communications	Art	Art Education (Minor)	/fine-arts-and-communications/art/art-education-minor
fine-arts-and-communications	art	art-education-k-12-ba	Fine Arts and Communications	Art	Art Education K-12 (BA)	/fine-arts-and-communications/art/art-education-k-12-ba
humanities	comparative-arts-and-letters	art-history-curatorial-studies-ba	Humanities	Comparative Arts and Letters	Art History & Curatorial Studies (BA)	/humanities/comparative-arts-and-letters/art-history-curatorial-studies-ba
humanities	comparative-arts-and-letters	art-history-curatorial-studies-minor	Humanities	Comparative Arts and Letters	Art History & Curatorial Studies (Minor)	/humanities/comparative-arts-and-letters/art-history-curatorial-studies-minor
international-and-area-studies	asian-studies-program	asian-studies-minor	International and Area Studies	Asian Studies Program	Asian Studies (Minor)	/international-and-area-studies/asian-studies-program/asian-studies-minor
international-and-area-studies	asian-studies-program	asian-studies-china-studies-ba	International and Area Studies	Asian Studies Program	Asian Studies: China Studies (BA)	/international-and-area-studies/asian-studies-program/asian-studies-china-studies-ba
international-and-area-studies	asian-studies-program	asian-studies-japan-studies-ba	International and Area Studies	Asian Studies Program	Asian Studies: Japan Studies (BA)	/international-and-area-studies/asian-studies-program/asian-studies-japan-studies-ba
international-and-area-studies	asian-studies-program	asian-studies-korea-studies-ba	International and Area Studies	Asian Studies Program	Asian Studies: Korea Studies (BA)	/international-and-area-studies/asian-studies-program/asian-studies-korea-studies-ba
physical-and-mathematical-sciences	physics-and-astronomy	astronomy-minor	Physical and Mathematical Sciences	Physics and Astronomy	Astronomy (Minor)	/physical-and-mathematical-sciences/physics-and-astronomy/astronomy-minor
life-sciences	exercise-sciences	athletic-training-bs	Life Sciences	Exercise Sciences	Athletic Training (BS)	/life-sciences/exercise-sciences/athletic-training-bs
fine-arts-and-communications	dance	ballroom-dance-minor	Fine Arts and Communications	Dance	Ballroom Dance (Minor)	/fine-arts-and-communications/dance/ballroom-dance-minor
humanities	asian-and-near-eastern-languages	biblical-hebrew-minor	Humanities	Asian and Near Eastern Languages	Biblical Hebrew (Minor)	/humanities/asian-and-near-eastern-languages/biblical-hebrew-minor
physical-and-mathematical-sciences	chemistry-and-biochemistry	biochemistry-bs	Physical and Mathematical Sciences	Chemistry and Biochemistry	Biochemistry (BS)	/physical-and-mathematical-sciences/chemistry-and-biochemistry/biochemistry-bs
life-sciences	biology	bioinformatics-bs	Life Sciences	Biology	Bioinformatics (BS)	/life-sciences/biology/bioinformatics-bs
life-sciences	biology	biological-science-education-bs	Life Sciences	Biology	Biological Science Education (BS)	/life-sciences/biology/biological-science-education-bs
life-sciences	biology	biology-bs	Life Sciences	Biology	Biology (BS)	/life-sciences/biology/biology-bs
life-sciences	physiology-and-developmental-biology	biophysics-bs	Life Sciences	Physiology and Developmental Biology	Biophysics (BS)	/life-sciences/physiology-and-developmental-biology/biophysics-bs
engineering-and-technology	chemical-engineering	chemical-engineering-bs	Engineering and Technology	Chemical Engineering	Chemical Engineering (BS)	/engineering-and-technology/chemical-engineering/chemical-engineering-bs
physical-and-mathematical-sciences	chemistry-and-biochemistry	chemistry-minor	Physical and Mathematical Sciences	Chemistry and Biochemistry	Chemistry (Minor)	/physical-and-mathematical-sciences/chemistry-and-biochemistry/chemistry-minor
physical-and-mathematical-sciences	chemistry-and-biochemistry	chemistry-bs	Physical and Mathematical Sciences	Chemistry and Biochemistry	Chemistry (BS)	/physical-and-mathematical-sciences/chemistry-and-biochemistry/chemistry-bs
physical-and-mathematical-sciences	chemistry-and-biochemistry	chemistry-ba	Physical and Mathematical Sciences	Chemistry and Biochemistry	Chemistry (BA)	/physical-and-mathematical-sciences/chemistry-and-biochemistry/chemistry-ba
physical-and-mathematical-sciences	chemistry-and-biochemistry	chemistry-education-minor	Physical and Mathematical Sciences	Chemistry and Biochemistry	Chemistry Education (Minor)	/physical-and-mathematical-sciences/chemistry-and-biochemistry/chemistry-education-minor
physical-and-mathematical-sciences	chemistry-and-biochemistry	chemistry-education-bs	Physical and Mathematical Sciences	Chemistry and Biochemistry	Chemistry Education (BS)	/physical-and-mathematical-sciences/chemistry-and-biochemistry/chemistry-education-bs
humanities	asian-and-near-eastern-languages	chinese-minor	Humanities	Asian and Near Eastern Languages	Chinese (Minor)	/humanities/asian-and-near-eastern-languages/chinese-minor
humanities	asian-and-near-eastern-languages	chinese-ba	Humanities	Asian and Near Eastern Languages	Chinese (BA)	/humanities/asian-and-near-eastern-languages/chinese-ba
humanities	asian-and-near-eastern-languages	chinese-teaching-minor	Humanities	Asian and Near Eastern Languages	Chinese Teaching (Minor)	/humanities/asian-and-near-eastern-languages/chinese-teaching-minor
family-home-and-social-sciences	civic-engagement-program	civic-engagement-leadership-minor	Family Home and Social Sciences	Civic Engagement Program	Civic Engagement Leadership (Minor)	/family-home-and-social-sciences/civic-engagement-program/civic-engagement-leadership-minor
engineering-and-technology	civil-and-environmental-engineering	civil-engineering-bs	Engineering and Technology	Civil and Environmental Engineering	Civil Engineering (BS)	/engineering-and-technology/civil-and-environmental-engineering/civil-engineering-bs
humanities	comparative-arts-and-letters	classical-studies-greek-option-minor	Humanities	Comparative Arts and Letters	Classical Studies (Greek option) (Minor)	/humanities/comparative-arts-and-letters/classical-studies-greek-option-minor
humanities	comparative-arts-and-letters	classical-studies-latin-option-minor	Humanities	Comparative Arts and Letters	Classical Studies (Latin option) (Minor)	/humanities/comparative-arts-and-letters/classical-studies-latin-option-minor
humanities	comparative-arts-and-letters	classical-studies-classical-civilization-ba	Humanities	Comparative Arts and Letters	Classical Studies: Classical Civilization (BA)	/humanities/comparative-arts-and-letters/classical-studies-classical-civilization-ba
humanities	comparative-arts-and-letters	classical-studies-classics-ba	Humanities	Comparative Arts and Letters	Classical Studies: Classics (BA)	/humanities/comparative-arts-and-letters/classical-studies-classics-ba
humanities	comparative-arts-and-letters	classical-studies-greek-emphasis-ba	Humanities	Comparative Arts and Letters	Classical Studies: Greek Emphasis (BA)	/humanities/comparative-arts-and-letters/classical-studies-greek-emphasis-ba
humanities	comparative-arts-and-letters	classical-studies-latin-emphasis-ba	Humanities	Comparative Arts and Letters	Classical Studies: Latin Emphasis (BA)	/humanities/comparative-arts-and-letters/classical-studies-latin-emphasis-ba
fine-arts-and-communications	school-of-music	commercial-music-bm	Fine Arts and Communications	School of Music	Commercial Music (BM)	/fine-arts-and-communications/school-of-music/commercial-music-bm
education	communication-disorders	communication-disorders-bs	Education	Communication Disorders	Communication Disorders (BS)	/education/communication-disorders/communication-disorders-bs
fine-arts-and-communications	school-of-communications	communications-minor	Fine Arts and Communications	School of Communications	Communications (Minor)	/fine-arts-and-communications/school-of-communications/communications-minor
fine-arts-and-communications	school-of-communications	communications-advertising-ba	Fine Arts and Communications	School of Communications	Communications: Advertising (BA)	/fine-arts-and-communications/school-of-communications/communications-advertising-ba
fine-arts-and-communications	school-of-communications	communications-news-media-ba	Fine Arts and Communications	School of Communications	Communications: News Media (BA)	/fine-arts-and-communications/school-of-communications/communications-news-media-ba
fine-arts-and-communications	school-of-communications	communications-public-relations-ba	Fine Arts and Communications	School of Communications	Communications: Public Relations (BA)	/fine-arts-and-communications/school-of-communications/communications-public-relations-ba
humanities	comparative-arts-and-letters	comparative-literature-ba	Humanities	Comparative Arts and Letters	Comparative Literature (BA)	/humanities/comparative-arts-and-letters/comparative-literature-ba
engineering-and-technology	electrical-and-computer-engineering	computer-engineering-bs	Engineering and Technology	Electrical and Computer Engineering	Computer Engineering (BS)	/engineering-and-technology/electrical-and-computer-engineering/computer-engineering-bs
physical-and-mathematical-sciences	computer-science	computer-science-minor	Physical and Mathematical Sciences	Computer Science	Computer Science (Minor)	/physical-and-mathematical-sciences/computer-science/computer-science-minor
physical-and-mathematical-sciences	computer-science	computer-science-bs	Physical and Mathematical Sciences	Computer Science	Computer Science (BS)	/physical-and-mathematical-sciences/computer-science/computer-science-bs
physical-and-mathematical-sciences	computer-science	computer-science-teaching-minor	Physical and Mathematical Sciences	Computer Science	Computer Science Teaching (Minor)	/physical-and-mathematical-sciences/computer-science/computer-science-teaching-minor
physical-and-mathematical-sciences	computer-science	computer-science-animation-bs	Physical and Mathematical Sciences	Computer Science	Computer Science: Animation (BS)	/physical-and-mathematical-sciences/computer-science/computer-science-animation-bs
physical-and-mathematical-sciences	computer-science	computer-science-bioinformatics-bs	Physical and Mathematical Sciences	Computer Science	Computer Science: Bioinformatics (BS)	/physical-and-mathematical-sciences/computer-science/computer-science-bioinformatics-bs
life-sciences	biology	conservation-biology-bs	Life Sciences	Biology	Conservation Biology (BS)	/life-sciences/biology/conservation-biology-bs
engineering-and-technology	school-of-technology	construction-and-facilities-management-construction	Engineering and Technology	School of Technology	Construction and Facilities Management: Construction Management (BS)	/engineering-and-technology/school-of-technology/construction-and-facilities-management-construction
engineering-and-technology	school-of-technology	construction-and-facilities-management-facilities	Engineering and Technology	School of Technology	Construction and Facilities Management: Facilities Management (BS)	/engineering-and-technology/school-of-technology/construction-and-facilities-management-facilities
fine-arts-and-communications	dance	contemporary-dance-minor	Fine Arts and Communications	Dance	Contemporary Dance (Minor)	/fine-arts-and-communications/dance/contemporary-dance-minor
humanities	english	creative-writing-minor	Humanities	English	Creative Writing (Minor)	/humanities/english/creative-writing-minor
fine-arts-and-communications	dance	dance-ba	Fine Arts and Communications	Dance	Dance (BA)	/fine-arts-and-communications/dance/dance-ba
fine-arts-and-communications	dance	dance-education-k-12-ba	Fine Arts and Communications	Dance	Dance Education K-12 (BA)	/fine-arts-and-communications/dance/dance-education-k-12-ba
fine-arts-and-communications	design	design-minor	Fine Arts and Communications	Design	Design (Minor)	/fine-arts-and-communications/design/design-minor
fine-arts-and-communications	design	design-graphic-design-ba	Fine Arts and Communications	Design	Design: Graphic Design (BA)	/fine-arts-and-communications/design/design-graphic-design-ba
fine-arts-and-communications	design	design-illustration-ba	Fine Arts and Communications	Design	Design: Illustration (BA)	/fine-arts-and-communications/design/design-illustration-ba
fine-arts-and-communications	design	design-photography-ba	Fine Arts and Communications	Design	Design: Photography (BA)	/fine-arts-and-communications/design/design-photography-ba
life-sciences	nutrition-dietetics-and-food-science	dietetics-bs	Life Sciences	Nutrition Dietetics and Food Science	Dietetics (BS)	/life-sciences/nutrition-dietetics-and-food-science/dietetics-bs
